zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6584,1.67985,6582,3.01713,6587,3.01703,0,92.8298,6651,0.59529,6593,0.59529,6593,0.998781,6603,0.998781,0.998781
713,3.64552,6558,1.68011,6530,3.01737,6540,3.01729,0,92.9274,6608,0.5952,6523,0.5952,6523,0.998695,6511,0.998695,0.998695
714,3.64733,6790,1.68038,6788,3.01764,6789,3.01755,0,93.0244,6393,0.595105,6789,0.595105,6789,0.998607,6329,0.998607,0.998607
715,3.64925,6790,1.68066,6790,3.01793,6790,3.01782,0,93.1211,6067,0.595004,6789,0.595004,6789,0.998517,5887,0.998517,0.998517
716,3.65126,6790,1.68096,6790,3.01825,6790,3.0181,0,93.2176,5768,0.594898,6790,0.594898,6790,0.998424,5674,0.998424,0.998424
717,3.65328,6790,1.68126,6790,3.01857,6790,3.01838,0,93.3136,5379,0.594792,6790,0.594792,6790,0.998328,5155,0.998328,0.998328
718,3.65516,6790,1.68154,6790,3.01884,6790,3.01868,0,93.4104,0,0.594692,6790,0.594692,6790,0.998229,3318,0.998229,0.998229
719,3.65685,4331,1.68179,4306,3.01903,6715,3.01899,0,93.5084,6790,0.594604,4291,0.594604,4291,0.998126,6790,0.998126,0.998126
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.6363,6790,0.594491,3160,0.594491,3160,0.997987,6790,0.997987,0.997987
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7614,6790,0.594376,2831,0.594376,2831,0.997846,6790,0.997846,0.997846
722,3.66346,2042,1.68277,0,3.01995,0,3.01995,0,93.893,6043,0.594257,0,0.594257,0,0.997693,6044,0.997693,0.997693
723,3.66579,0,1.68312,0,3.02029,0,3.02029,0,94.1576,6189,0.594134,0,0.594134,0,0.997368,6164,0.997368,0.997368
724,3.69122,6523,1.68689,6520,3.03281,6496,3.03259,0,92.8296,6521,0.592805,6521,0.592805,6521,0.99878,6745,0.99878,0.99878
725,3.693,6529,1.68716,6522,3.03307,6491,3.03285,0,92.9276,6471,0.592713,6507,0.592713,6507,0.998695,6548,0.998695,0.998695
726,3.69491,6790,1.68744,6789,3.03334,6788,3.03311,0,93.0251,6305,0.592614,6790,0.592614,6790,0.998607,6249,0.998607,0.998607
727,3.69689,6790,1.68773,6790,3.03365,6790,3.03338,0,93.1222,6042,0.59251,6790,0.59251,6790,0.998516,5961,0.998516,0.998516
728,3.69889,6790,1.68803,6790,3.03397,6790,3.03366,0,93.2192,5804,0.592406,6790,0.592406,6790,0.998422,5811,0.998422,0.998422
729,3.70078,6790,1.68831,6789,3.03426,6790,3.03395,0,93.3156,5652,0.592309,6789,0.592309,6789,0.998326,5621,0.998326,0.998326
730,3.70241,6709,1.68855,6711,3.03446,6739,3.03425,0,93.4136,6790,0.592224,6705,0.592224,6705,0.998226,6788,0.998226,0.998226
731,3.70403,4943,1.68879,4937,3.0346,5101,3.03456,0,93.5206,6790,0.59214,4940,0.59214,4940,0.998113,6790,0.998113,0.998113
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.6559,6790,0.592031,2998,0.592031,2998,0.997965,6790,0.997965,0.997965
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7763,6790,0.591916,0,0.591916,0,0.997829,6790,0.997829,0.997829
734,3.71064,1777,1.68977,0,3.03553,0,3.03553,0,93.9111,5980,0.591797,0,0.591797,0,0.997671,5965,0.997671,0.997671
735,3.71304,6790,1.69012,6790,3.03587,0,3.03587,0,94.1743,6104,0.591672,6790,0.591672,6790,0.997347,6093,0.997347,0.997347
736,3.73954,6418,1.69404,6404,3.0487,6386,3.04831,0,92.828,6350,0.590305,6414,0.590305,6414,0.998781,6472,0.998781,0.998781
737,3.74149,6664,1.69433,6629,3.049,6406,3.04857,0,92.9263,6326,0.590205,6629,0.590205,6629,0.998695,6460,0.998695,0.998695
738,3.74359,6790,1.69464,6789,3.04931,6789,3.04883,0,93.0245,6189,0.590097,6787,0.590097,6787,0.998606,6297,0.998606,0.998606
739,3.74572,6790,1.69495,6790,3.04966,6787,3.04911,0,93.1225,5918,0.589988,6787,0.589988,6787,0.998515,5988,0.998515,0.998515
740,3.74774,6727,1.69525,6725,3.04998,6751,3.04939,0,93.2208,5784,0.589884,6711,0.589884,6711,0.99842,5729,0.99842,0.99842
741,3.74955,6593,1.69552,6582,3.05022,6641,3.04968,0,93.3191,6072,0.589791,6581,0.589791,6581,0.998323,5978,0.998323,0.998323
742,3.75108,6390,1.69574,6379,3.05037,6454,3.04998,0,93.4271,6790,0.589712,6370,0.589712,6370,0.998212,6789,0.998212,0.998212
743,3.75249,5354,1.69595,5334,3.05047,5389,3.05029,0,93.5423,6790,0.58964,5301,0.58964,5301,0.998089,6790,0.998089,0.998089
744,3.75403,3827,1.69618,3800,3.05061,3021,3.05061,0,93.6831,6790,0.589561,3827,0.589561,3827,0.997935,6790,0.997935,0.997935
745,3.75625,0,1.6965,0,3.05093,0,3.05093,0,93.7885,6789,0.589447,0,0.589447,0,0.997815,6785,0.997815,0.997815
746,3.75856,0,1.69684,0,3.05127,0,3.05127,0,93.9309,5888,0.589329,0,0.589329,0,0.997647,5874,0.997647,0.997647
747,3.76593,6790,1.69793,6790,3.05166,6790,3.05161,0,94.1955,6024,0.588953,6790,0.588953,6790,0.99732,6009,0.99732,0.99732
748,3.78847,6342,1.70125,6328,3.06474,6305,3.0642,0,92.8268,0,0.587805,6338,0.587805,6338,0.998783,3095,0.998783,0.998783
749,3.79066,6459,1.70157,6440,3.0651,6350,3.06446,0,92.9241,0,0.587694,6428,0.587694,6428,0.998698,6276,0.998698,0.998698
750,3.79305,6641,1.70192,6630,3.06549,6512,3.06472,0,93.0214,3076,0.587572,6631,0.587572,6631,0.998609,6162,0.998609,0.998609
751,3.79551,6617,1.70228,6608,3.06592,6580,3.065,0,93.1187,3039,0.587447,6603,0.587447,6603,0.998517,6114,0.998517,0.998517
752,3.79795,6545,1.70264,6540,3.06633,6555,3.06528,0,93.216,3036,0.587324,6542,0.587324,6542,0.998422,6004,0.998422,0.998422
753,3.80025,6397,1.70298,6391,3.06667,6410,3.06557,0,93.323,6790,0.587207,6381,0.587207,6381,0.998319,6790,0.998319,0.998319
754,3.80234,6151,1.70328,6147,3.06693,6175,3.06587,0,93.441,6790,0.587102,6154,0.587102,6154,0.998197,6790,0.998197,0.998197
755,3.80404,5956,1.70353,5944,3.06705,5947,3.06618,0,93.5666,6790,0.587016,5940,0.587016,5940,0.998063,6790,0.998063,0.998063
756,3.80495,5723,1.70367,5709,3.06694,5520,3.0665,0,93.715,6790,0.58697,5712,0.58697,5712,0.997899,6790,0.997899,0.997899
757,3.80503,4241,1.70368,4198,3.06683,0,3.06683,0,93.819,6618,0.586966,4191,0.586966,4191,0.997779,6618,0.997779,0.997779
758,3.80725,1642,1.704,0,3.06717,0,3.06717,0,93.9801,5842,0.586853,0,0.586853,0,0.997588,5835,0.997588,0.997588
759,3.81442,6790,1.70505,6790,3.06846,6790,3.06751,0,94.2097,5814,0.586492,6790,0.586492,6790,0.997302,5804,0.997302,0.997302
760,3.83604,6212,1.70822,6197,3.08047,6194,3.08025,0,92.8268,0,0.585404,6202,0.585404,6202,0.998783,0,0.998783,0.998783
