zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,TotAng,TotAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
712,3.64381,6587,1.67985,6585,3.01713,6585,3.01703,0,92.8298,6678,180.0,6537,0.59529,6599,0.59529,6599,0.998781,6636,0.998781,0.998781
713,3.64552,6556,1.68011,6528,3.01737,6552,3.01729,0,92.9274,6607,180.0,6341,0.5952,6522,0.5952,6522,0.998695,6558,0.998695,0.998695
714,3.64731,6696,1.68037,6695,3.01763,6694,3.01755,0,93.0244,6411,180.0,5600,0.595106,6691,0.595106,6691,0.998607,6378,0.998607,0.998607
715,3.64919,6696,1.68065,6696,3.01791,6695,3.01782,0,93.1211,6043,180.0,5557,0.595007,6696,0.595007,6696,0.998517,6019,0.998517,0.998517
716,3.65117,6696,1.68095,6696,3.01822,6696,3.0181,0,93.2176,5735,180.0,5467,0.594903,6696,0.594903,6696,0.998424,5670,0.998424,0.998424
717,3.65316,6696,1.68124,6696,3.01853,6696,3.01838,0,93.3136,5387,180.0,6038,0.594798,6696,0.594798,6696,0.998328,5154,0.998328,0.998328
718,3.65507,6696,1.68153,6696,3.01881,6696,3.01868,0,93.4104,0,180.001,6696,0.594697,6696,0.594697,6696,0.998229,3318,0.998229,0.998229
719,3.65685,4331,1.68179,4306,3.01903,6694,3.01899,0,93.5076,0,180.004,6694,0.594604,4291,0.594604,4291,0.998127,0,0.998127,0.998127
720,3.65899,3162,1.68211,3112,3.0193,3167,3.0193,0,93.6276,6696,180.01,6696,0.594491,3160,0.594491,3160,0.997996,6696,0.997996,0.997996
721,3.6612,2925,1.68244,2867,3.01962,2993,3.01962,0,93.7539,6696,180.012,6696,0.594376,2831,0.594376,2831,0.997854,6696,0.997854,0.997854
722,3.66346,2042,1.68277,0,3.01995,0,3.01995,0,93.8931,6046,180.015,5713,0.594257,0,0.594257,0,0.997693,6028,0.997693,0.997693
723,3.66579,0,1.68312,0,3.02029,0,3.02029,0,94.1575,6189,180.018,5422,0.594134,0,0.594134,0,0.997368,6187,0.997368,0.997368
724,3.69122,6521,1.68689,6518,3.03281,6494,3.03259,0,92.8296,6520,180.0,3387,0.592805,6519,0.592805,6519,0.99878,6558,0.99878,0.99878
725,3.693,6528,1.68716,6531,3.03307,6501,3.03285,0,92.9276,6480,180.0,3348,0.592713,6511,0.592713,6511,0.998695,6504,0.998695,0.998695
726,3.69487,6696,1.68743,6695,3.03334,6695,3.03311,0,93.0251,6326,180.0,3340,0.592616,6695,0.592616,6695,0.998607,6330,0.998607,0.998607
727,3.69682,6696,1.68772,6696,3.03364,6696,3.03338,0,93.1223,6082,180.0,5803,0.592514,6696,0.592514,6696,0.998516,5920,0.998516,0.998516
728,3.6988,6696,1.68802,6696,3.03394,6696,3.03366,0,93.2192,5777,180.0,5652,0.592411,6696,0.592411,6696,0.998422,5702,0.998422,0.998422
729,3.70071,6696,1.6883,6696,3.03423,6696,3.03395,0,93.3156,5608,180.001,6125,0.592312,6695,0.592312,6695,0.998326,5505,0.998326,0.998326
730,3.7024,6695,1.68855,6696,3.03445,6696,3.03425,0,93.4131,6696,180.003,6696,0.592224,6694,0.592224,6694,0.998226,6691,0.998226,0.998226
731,3.70403,4943,1.68879,4937,3.0346,5102,3.03456,0,93.5144,6696,180.008,6696,0.59214,4940,0.59214,4940,0.998119,6696,0.998119,0.998119
732,3.70613,3048,1.6891,3015,3.03487,3077,3.03487,0,93.6439,6696,180.015,6696,0.592031,2998,0.592031,2998,0.997978,6696,0.997978,0.997978
733,3.70835,2754,1.68943,0,3.0352,2769,3.0352,0,93.7692,6696,180.014,6694,0.591916,0,0.591916,0,0.997837,6696,0.997837,0.997837
734,3.71064,1777,1.68977,0,3.03553,0,3.03553,0,93.9112,5982,180.018,5666,0.591797,0,0.591797,0,0.997671,5971,0.997671,0.997671
735,3.71299,1664,1.69012,0,3.03587,0,3.03587,0,94.1743,6107,180.019,5392,0.591675,0,0.591675,0,0.997347,6083,0.997347,0.997347
736,3.73954,6408,1.69404,6406,3.0487,6379,3.04831,0,92.828,6375,180.0,0,0.590305,6387,0.590305,6387,0.998781,6581,0.998781,0.998781
737,3.74149,6651,1.69433,6621,3.049,6408,3.04857,0,92.9263,6323,180.0,0,0.590205,6596,0.590205,6596,0.998695,6400,0.998695,0.998695
738,3.74356,6696,1.69463,6695,3.04931,6695,3.04883,0,93.0245,6194,180.0,0,0.590098,6695,0.590098,6695,0.998606,6206,0.998606,0.998606
739,3.74568,6696,1.69495,6696,3.04965,6696,3.04911,0,93.1225,5951,180.0,0,0.58999,6695,0.58999,6695,0.998515,5925,0.998515,0.998515
740,3.74773,6696,1.69525,6695,3.04997,6695,3.04939,0,93.2208,5774,180.0,0,0.589884,6693,0.589884,6693,0.99842,5732,0.99842,0.99842
741,3.74955,6591,1.69552,6589,3.05022,6643,3.04968,0,93.3192,6089,180.002,6696,0.589791,6586,0.589791,6586,0.998322,6063,0.998322,0.998322
742,3.75107,6385,1.69574,6373,3.05037,6448,3.04998,0,93.4243,6696,180.008,6696,0.589713,6371,0.589713,6371,0.998215,6696,0.998215,0.998215
743,3.75249,5340,1.69595,5327,3.05047,5384,3.05029,0,93.5322,6696,180.014,6696,0.58964,5297,0.58964,5297,0.9981,6696,0.9981,0.9981
744,3.75403,3827,1.69618,3800,3.05061,3021,3.05061,0,93.6686,6696,180.022,6696,0.589561,3827,0.589561,3827,0.997951,6696,0.997951,0.997951
745,3.75625,0,1.6965,0,3.05093,0,3.05093,0,93.7859,6696,180.016,6576,0.589447,0,0.589447,0,0.997818,6696,0.997818,0.997818
