Cycle,SD,FP,FZ,FailedZoneValue,FailedZoneDiff
0,2.74723122582,-13.7371907707,11559,0.0513361,-2.30257378264
1,2.74725021152,-13.7372407748,11559,0.0513361,-2.30252377851
2,2.74726930503,-13.7372906356,11559,0.0513361,-2.30247391769
3,2.74728850846,-13.7373403562,11559,0.0513361,-2.30242419712
4,2.74730781511,-13.7373899401,11559,0.0513361,-2.30237461325
5,2.74732722006,-13.7374393909,11559,0.0513361,-2.30232516617
6,2.74734671855,-13.7374887119,11559,0.0513361,-2.30227584514
7,2.74736630615,-13.7375379061,11559,0.0513361,-2.30222665097
8,2.74738597922,-13.7375869766,11559,0.0513361,-2.30217758041
9,2.74740573863,-13.7376359252,11559,0.0513361,-2.30212863183
10,2.74742557777,-13.7376847552,11559,0.0513361,-2.30207980187
11,2.74744549653,-13.7377334685,11559,0.0513361,-2.30203108858
12,2.7474654854,-13.7377820682,11559,0.0513361,-2.30198248882
13,2.7474855486,-13.7378305559,11559,0.0513361,-2.30193400113
14,2.74750568144,-13.7378789334,11559,0.0513361,-2.30188562361
15,2.74752587517,-13.7379272038,11559,0.0513361,-2.30183735692
16,2.74754612502,-13.7379753699,11559,0.0513361,-2.30178919084
17,2.7475664481,-13.7380234303,11559,0.0513361,-2.30174113415
18,2.74758682854,-13.7380694815,11559,0.0513361,-2.30169317568
19,2.74760727054,-13.7381173388,11559,0.0513361,-2.3016453221
20,2.74762777014,-13.7381650967,11559,0.0513361,-2.30159756787
21,2.74764831662,-13.7382127579,11559,0.0513361,-2.30154991039
22,2.74766891879,-13.7382603229,11559,0.0513361,-2.30150234914
23,2.74768957345,-13.7383077926,11559,0.0513361,-2.30145488321
24,2.74771027369,-13.7383551695,11559,0.0513361,-2.30140751002
25,2.74773102302,-13.7384024543,11559,0.0513361,-2.30136023259
26,2.74775182072,-13.7384496481,11559,0.0513361,-2.30131304257
27,2.74777265421,-13.7384967534,11559,0.0513361,-2.30126594471
28,2.74779352503,-13.7385437707,11559,0.0513361,-2.30121893112
29,2.74781444361,-13.7385907005,11559,0.0513361,-2.30117200875
30,2.74783540411,-13.7386356367,11559,0.0513361,-2.30112516892
31,2.74785640137,-13.7386823954,11559,0.0513361,-2.30107841773
32,2.74787743286,-13.7387290702,11559,0.0513361,-2.30103175037
33,2.74789850684,-13.7387756618,11559,0.0513361,-2.30098516254
34,2.74791961488,-13.738822171,11559,0.0513361,-2.300938657
35,2.74794075909,-13.7388685989,11559,0.051336,-2.30089223659
36,2.74796192926,-13.7389149482,11559,0.051336,-2.30084589099
37,2.74798312219,-13.7389612191,11559,0.051336,-2.3007996238
38,2.74800435687,-13.7390074102,11559,0.051336,-2.30075343649
39,2.74802561147,-13.739053525,11559,0.051336,-2.30070732534
40,2.74804690499,-13.7390976547,11559,0.051336,-2.30066129202
41,2.74806822358,-13.7391436167,11559,0.051336,-2.30061533378
42,2.74808957129,-13.739189503,11559,0.051336,-2.30056945116
43,2.74811094433,-13.7392353154,11559,0.051336,-2.3005236425
44,2.74813233932,-13.7392810548,11559,0.051336,-2.30047790308
45,2.74815375162,-13.7393267221,11559,0.051336,-2.30043223959
46,2.74817518579,-13.7393723179,11559,0.051336,-2.30038664752
47,2.74819665093,-13.7394178415,11559,0.051336,-2.3003411239
48,2.74821814315,-13.7394632936,11559,0.051336,-2.30029567545
49,2.74823964905,-13.7395067698,11559,0.051336,-2.30025029563
50,2.74826117641,-13.7395520843,11559,0.051336,-2.30020498114
51,2.74828272277,-13.7395973302,11559,0.051336,-2.30015973897
52,2.74830427526,-13.7396425098,11559,0.051336,-2.30011456308
53,2.74832586085,-13.7396876206,11559,0.051336,-2.30006945236
54,2.74834745644,-13.7397326658,11559,0.051336,-2.30002441083
55,2.74836907432,-13.739777645,11559,0.051336,-2.29997943539
56,2.74839071017,-13.7398225584,11559,0.051336,-2.29993452575
57,2.74841235316,-13.7398655013,11559,0.051336,-2.29988967548
58,2.7484340066,-13.7399102887,11559,0.051336,-2.2998448918
59,2.74845567243,-13.7399550137,11559,0.051336,-2.29980017049
60,2.74847736077,-13.7399996756,11559,0.051336,-2.29975550864
61,2.74849906442,-13.7400442762,11559,0.051336,-2.29971091168
62,2.74852077383,-13.7400888177,11559,0.051336,-2.29966637028
63,2.74854249685,-13.7401332996,11559,0.051336,-2.29962189202
64,2.74856422907,-13.7401777233,11559,0.051336,-2.29957746839
